"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2004","182.72","182.45","183.74","180.89","324.96M","0.15%"
"May 04, 2004","182.45","176.78","182.45","175.87","308.85M","3.21%"
"May 03, 2004","176.78","180.23","183.48","175.59","208.08M","-1.91%"
"Apr 30, 2004","180.23","177.38","180.39","177.01","229.31M","1.61%"
"Apr 29, 2004","177.38","182.30","182.30","174.71","231.98M","-2.70%"
"Apr 28, 2004","182.30","182.17","183.53","180.02","251.02M","0.07%"
"Apr 27, 2004","182.17","185.86","185.86","177.73","306.80M","-1.99%"
"Apr 26, 2004","185.86","194.31","196.01","185.20","228.81M","-4.35%"
"Apr 22, 2004","194.31","192.70","195.23","191.37","221.40M","0.84%"
"Apr 21, 2004","192.70","195.28","195.34","191.92","207.35M","-1.32%"
"Apr 20, 2004","195.28","199.36","200.26","194.40","295.99M","-2.05%"
"Apr 19, 2004","199.36","192.69","199.48","192.69","290.89M","3.46%"
"Apr 16, 2004","192.69","186.88","192.69","186.88","276.32M","3.11%"
"Apr 15, 2004","186.88","186.78","187.92","183.28","238.92M","0.05%"
"Apr 14, 2004","186.78","191.04","194.11","186.52","326.81M","-2.23%"
"Apr 13, 2004","191.04","192.59","192.59","188.91","249.26M","-0.80%"
"Apr 12, 2004","192.59","195.05","195.72","191.07","244.91M","-1.26%"
"Apr 09, 2004","195.05","194.20","197.30","194.20","191.96M","0.44%"
"Apr 08, 2004","194.20","200.40","200.40","193.01","306.49M","-3.09%"
"Apr 07, 2004","200.40","202.73","203.91","199.84","274.17M","-1.15%"
"Apr 06, 2004","202.73","203.31","204.75","201.55","329.59M","-0.29%"
"Apr 05, 2004","203.31","204.85","206.11","202.40","231.34M","-0.75%"
"Apr 02, 2004","204.85","203.22","205.50","203.22","266.98M","0.80%"
"Apr 01, 2004","203.22","201.91","204.47","201.91","285.99M","0.65%"
"Mar 31, 2004","201.91","200.31","202.83","198.80","334.61M","0.80%"
"Mar 30, 2004","200.31","208.87","208.97","199.45","421.09M","-4.10%"
"Mar 29, 2004","208.87","208.36","213.15","205.68","518.96M","0.24%"
"Mar 26, 2004","208.36","204.73","209.13","204.73","609.29M","1.77%"
"Mar 25, 2004","204.73","203.48","205.01","201.11","439.35M","0.61%"
"Mar 24, 2004","203.48","201.86","205.41","201.86","605.30M","0.80%"
"Mar 23, 2004","201.86","201.67","204.57","199.79","389.55M","0.09%"
"Mar 22, 2004","201.67","200.24","203.97","200.24","382.80M","0.71%"
"Mar 19, 2004","200.24","196.11","200.24","196.11","336.42M","2.11%"
"Mar 18, 2004","196.11","192.94","196.19","191.23","267.77M","1.64%"
"Mar 17, 2004","192.94","193.22","194.91","192.07","214.28M","-0.14%"
"Mar 16, 2004","193.22","195.27","195.27","192.57","270.61M","-1.05%"
"Mar 15, 2004","195.27","193.64","196.19","193.64","268.00M","0.84%"
"Mar 12, 2004","193.64","193.81","195.95","191.42","315.06M","-0.09%"
"Mar 11, 2004","193.81","197.99","198.62","192.92","343.02M","-2.11%"
