"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12","725.29","662.70","727.03","656.40","8.49B","9.24%"
"Sep 12","663.97","673.04","685.41","660.94","8.80B","-1.44%"
"Aug 12","673.68","642.07","673.68","632.65","7.53B","4.84%"
"Jul 12","642.60","623.10","651.90","604.67","8.95B","2.74%"
"Jun 12","625.43","551.25","625.43","543.66","9.01B","13.51%"
"May 12","550.99","599.72","603.15","539.98","9.28B","-8.18%"
"Apr 12","600.10","625.98","636.17","592.41","11.33B","-3.86%"
"Mar 12","624.23","603.99","630.35","587.78","12.59B","2.80%"
"Feb 12","607.21","570.80","617.79","570.80","13.50B","6.21%"
"Jan 12","571.71","513.15","584.72","492.63","11.86B","11.52%"
"Dec 11","512.67","544.13","555.38","506.40","8.24B","-5.96%"
"Nov 11","545.18","552.57","569.55","488.12","8.99B","-2.75%"
"Oct 11","560.61","589.07","601.16","553.39","9.84B","-6.08%"
"Sep 11","596.93","545.89","617.22","538.86","11.32B","10.65%"
"Aug 11","539.46","627.32","628.00","486.00","12.71B","-13.40%"
"Jul 11","622.96","633.55","644.63","584.86","8.05B","-1.54%"
"Jun 11","632.69","629.29","644.78","598.40","10.29B","0.35%"
"May 11","630.46","696.21","703.36","611.39","11.70B","-8.96%"
"Apr 11","692.50","643.16","697.96","642.06","14.52B","7.47%"
"Mar 11","644.35","615.25","651.71","580.68","18.36B","5.14%"
"Feb 11","612.84","638.10","663.89","605.35","14.15B","-3.15%"
"Jan 11","632.78","663.63","697.25","619.57","17.61B","-4.13%"
"Dec 10","660.04","655.61","685.24","624.37","16.18B","1.00%"
"Nov 10","653.51","694.42","716.66","638.35","10.98B","-4.96%"
"Oct 10","687.60","657.63","717.77","647.09","13.52B","4.54%"
"Sep 10","657.74","601.00","661.22","595.35","9.59B","9.67%"
"Aug 10","599.73","603.36","607.92","576.55","7.30B","0.18%"
"Jul 10","598.67","542.38","609.51","539.11","8.28B","9.17%"
"Jun 10","548.39","541.97","577.89","532.06","9.45B","0.83%"
"May 10","543.85","587.94","589.97","517.57","13.28B","-7.76%"
"Apr 10","589.59","568.22","597.72","566.96","13.53B","4.28%"
"Mar 10","565.38","504.82","576.45","501.51","13.23B","13.75%"
"Feb 10","497.05","547.31","557.35","480.80","13.90B","-9.05%"
"Jan 10","546.51","528.19","559.11","524.10","16.21B","3.46%"
"Dec 09","528.25","452.09","531.55","450.46","15.12B","16.48%"
"Nov 09","453.50","467.20","491.49","446.79","12.39B","-3.89%"
"Oct 09","471.85","482.28","518.63","461.69","14.92B","-1.51%"
"Sep 09","479.10","469.58","489.90","441.30","12.21B","2.92%"
"Aug 09","465.51","430.18","483.35","425.25","16.69B","9.17%"
"Jul 09","426.41","368.54","436.28","362.62","15.31B","15.41%"
"Jun 09","369.49","358.05","377.19","332.65","16.77B","5.56%"
"May 09","350.03","319.96","357.20","317.41","18.12B","10.59%"
"Apr 09","316.52","256.16","318.19","255.58","15.55B","22.85%"
"Mar 09","257.65","236.79","257.65","225.83","11.29B","7.23%"
"Feb 09","240.27","255.61","271.32","231.60","8.62B","-7.35%"
"Jan 09","259.34","271.48","287.33","240.35","11.05B","-3.46%"
"Dec 08","268.64","256.35","272.28","230.79","7.27B","4.47%"
"Nov 08","257.15","281.32","294.00","209.12","11.52B","-7.61%"
"Oct 08","278.33","339.45","345.53","234.45","12.37B","-22.80%"
"Sep 08","360.51","393.81","408.82","309.71","8.55B","-9.52%"
"Aug 08","398.44","419.14","436.02","391.98","6.56B","-5.59%"
"Jul 08","422.01","348.81","432.86","326.46","8.81B","20.27%"
"Jun 08","350.90","399.19","408.30","348.79","5.28B","-12.21%"
"May 08","399.70","431.19","437.36","389.47","4.97B","-8.05%"
"Apr 08","434.68","388.18","439.96","384.64","7.33B","11.41%"
"Mar 08","390.15","436.59","447.77","381.74","6.33B","-12.87%"
"Feb 08","447.77","435.62","467.97","409.55","7.33B","4.87%"
"Jan 08","426.98","551.60","555.38","420.81","6.62B","-23.12%"
"Dec 07","555.38","541.16","570.88","533.72","3.64B","2.44%"
"Nov 07","542.14","581.58","587.47","509.40","6.33B","-5.90%"
"Oct 07","576.16","540.04","588.64","520.94","8.65B","6.61%"
"Sep 07","540.44","501.99","551.29","484.67","7.48B","7.66%"
"Aug 07","501.99","528.25","528.25","432.91","8.03B","-4.97%"
"Jul 07","528.25","470.94","563.10","469.17","9.75B","12.17%"
"Jun 07","470.94","470.81","470.94","435.16","4.66B","0.03%"
"May 07","470.81","449.84","471.12","434.48","6.47B","4.66%"
